dam_name, timetsep, water_level
dam01,54,1200
dam02,54,540
dam03,54,613
dam01,55,1200
dam02,55,540
dam03,55,613
dam01,56,1200
dam02,56,540
dam03,56,613
dam01,57,1200
dam02,57,540
dam03,57,613
dam01,58,1200
dam02,58,540
dam03,58,613
dam01,59,1200
dam02,59,540
dam03,59,613
dam01,60,1254
dam02,60,600
dam03,60,638
dam01,61,1254
dam02,61,600
dam03,61,638
dam01,62,1254
dam02,62,600
dam03,62,638
dam01,63,1254
dam02,63,600
dam03,63,638
dam01,64,1254
dam02,64,600
dam03,64,638
dam01,65,1254
dam02,65,600
dam03,65,638
dam01,66,1254
dam02,66,600
dam03,66,638
dam01,67,1254
dam02,67,600
dam03,67,638
dam01,68,1254
dam02,68,600
dam03,68,638
dam01,69,1254
dam02,69,600
dam03,69,638
dam01,70,1303
dam02,70,633
dam03,70,684
dam01,71,1303
dam02,71,633
dam03,71,684
dam01,72,1303
dam02,72,633
dam03,72,684
dam01,73,1303
dam02,73,633
dam03,73,684
dam01,74,1303
dam02,74,633
dam03,74,684
dam01,75,1303
dam02,75,633
dam03,75,684
dam01,76,1303
dam02,76,633
dam03,76,684
dam01,77,1303
dam02,77,633
dam03,77,684
dam01,78,1303
dam02,78,633
dam03,78,684
dam01,79,1303
dam02,79,633
dam03,79,684
dam01,80,1386
dam02,80,600
dam03,80,677
dam01,81,1386
dam02,81,600
dam03,81,677
dam01,82,1386
dam02,82,600
dam03,82,677
dam01,83,1386
dam02,83,600
dam03,83,677
dam01,84,1386
dam02,84,600
dam03,84,677
dam01,85,1386
dam02,85,600
dam03,85,677
dam01,86,1386
dam02,86,600
dam03,86,677
dam01,87,1386
dam02,87,600
dam03,87,677
dam01,88,1386
dam02,88,600
dam03,88,677
dam01,89,1386
dam02,89,600
dam03,89,677
dam01,90,1424
dam02,90,600
dam03,90,686
dam01,91,1424
dam02,91,600
dam03,91,686
dam01,92,1424
dam02,92,600
dam03,92,686
dam01,93,1424
dam02,93,600
dam03,93,686
dam01,94,1424
dam02,94,600
dam03,94,686
dam01,95,1424
dam02,95,600
dam03,95,686
dam01,96,1424
dam02,96,600
dam03,96,686
dam01,97,1424
dam02,97,600
dam03,97,686
dam01,98,1424
dam02,98,600
dam03,98,686
dam01,99,1424
dam02,99,600
dam03,99,686
dam01,100,1472
dam02,100,600
dam03,100,688
dam01,101,1472
dam02,101,600
dam03,101,688
dam01,102,1472
dam02,102,600
dam03,102,688
dam01,103,1472
dam02,103,600
dam03,103,688
dam01,104,1472
dam02,104,600
dam03,104,688
dam01,105,1472
dam02,105,600
dam03,105,688
dam01,106,1472
dam02,106,600
dam03,106,688
dam01,107,1472
dam02,107,600
dam03,107,688
dam01,108,1472
dam02,108,600
dam03,108,688
dam01,109,1472
dam02,109,600
dam03,109,688
dam01,110,1485
dam02,110,600
dam03,110,628
dam01,111,1485
dam02,111,600
dam03,111,628
dam01,112,1485
dam02,112,600
dam03,112,628
dam01,113,1485
dam02,113,600
dam03,113,628
dam01,114,1485
dam02,114,600
dam03,114,628
dam01,115,1485
dam02,115,600
dam03,115,628
dam01,116,1485
dam02,116,600
dam03,116,628
dam01,117,1485
dam02,117,600
dam03,117,628
dam01,118,1485
dam02,118,600
dam03,118,628
dam01,119,1485
dam02,119,600
dam03,119,628
dam01,120,1478
dam02,120,600
dam03,120,637
dam01,121,1478
dam02,121,600
dam03,121,637
dam01,122,1478
dam02,122,600
dam03,122,637
dam01,123,1478
dam02,123,600
dam03,123,637
dam01,124,1478
dam02,124,600
dam03,124,637
dam01,125,1478
dam02,125,600
dam03,125,637
dam01,126,1478
dam02,126,600
dam03,126,637
dam01,127,1478
dam02,127,600
dam03,127,637
dam01,128,1478
dam02,128,600
dam03,128,637
dam01,129,1478
dam02,129,600
dam03,129,637
dam01,130,1451
dam02,130,600
dam03,130,669
dam01,131,1451
dam02,131,600
dam03,131,669
dam01,132,1451
dam02,132,600
dam03,132,669
dam01,133,1451
dam02,133,600
dam03,133,669
dam01,134,1451
dam02,134,600
dam03,134,669
dam01,135,1451
dam02,135,600
dam03,135,669
dam01,136,1451
dam02,136,600
dam03,136,669
dam01,137,1451
dam02,137,600
dam03,137,669
dam01,138,1451
dam02,138,600
dam03,138,669
dam01,139,1451
dam02,139,600
dam03,139,669
dam01,140,1415
dam02,140,600
dam03,140,726
dam01,141,1415
dam02,141,600
dam03,141,726
dam01,142,1415
dam02,142,600
dam03,142,726
dam01,143,1415
dam02,143,600
dam03,143,726
dam01,144,1415
dam02,144,600
dam03,144,726
dam01,145,1415
dam02,145,600
dam03,145,726
dam01,146,1415
dam02,146,600
dam03,146,726
dam01,147,1415
dam02,147,600
dam03,147,726
dam01,148,1415
dam02,148,600
dam03,148,726
dam01,149,1415
dam02,149,600
dam03,149,726
dam01,150,1449
dam02,150,668
dam03,150,800
dam01,151,1449
dam02,151,668
dam03,151,800
dam01,152,1449
dam02,152,668
dam03,152,800
dam01,153,1449
dam02,153,668
dam03,153,800
dam01,154,1449
dam02,154,668
dam03,154,800
dam01,155,1449
dam02,155,668
dam03,155,800
dam01,156,1449
dam02,156,668
dam03,156,800
dam01,157,1449
dam02,157,668
dam03,157,800
dam01,158,1449
dam02,158,668
dam03,158,800
dam01,159,1449
dam02,159,668
dam03,159,800
dam01,160,1480
dam02,160,669
dam03,160,800
dam01,161,1480
dam02,161,669
dam03,161,800
dam01,162,1480
dam02,162,669
dam03,162,800
dam01,163,1480
dam02,163,669
dam03,163,800
dam01,164,1480
dam02,164,669
dam03,164,800
dam01,165,1480
dam02,165,669
dam03,165,800
dam01,166,1480
dam02,166,669
dam03,166,800
dam01,167,1480
dam02,167,669
dam03,167,800
dam01,168,1480
dam02,168,669
dam03,168,800
dam01,169,1480
dam02,169,669
dam03,169,800
dam01,170,1520
dam02,170,675
dam03,170,835
dam01,171,1520
dam02,171,675
dam03,171,835
dam01,172,1520
dam02,172,675
dam03,172,835
dam01,173,1520
dam02,173,675
dam03,173,835
dam01,174,1520
dam02,174,675
dam03,174,835
dam01,175,1520
dam02,175,675
dam03,175,835
dam01,176,1520
dam02,176,675
dam03,176,835
dam01,177,1520
dam02,177,675
dam03,177,835
dam01,178,1520
dam02,178,675
dam03,178,835
dam01,179,1520
dam02,179,675
dam03,179,835
dam01,180,1498
dam02,180,722
dam03,180,858
dam01,181,1498
dam02,181,722
dam03,181,858
dam01,182,1498
dam02,182,722
dam03,182,858
dam01,183,1498
dam02,183,722
dam03,183,858
dam01,184,1498
dam02,184,722
dam03,184,858
dam01,185,1498
dam02,185,722
dam03,185,858
dam01,186,1498
dam02,186,722
dam03,186,858
dam01,187,1498
dam02,187,722
dam03,187,858
dam01,188,1498
dam02,188,722
dam03,188,858
dam01,189,1498
dam02,189,722
dam03,189,858
dam01,190,1536
dam02,190,714
dam03,190,873
dam01,191,1536
dam02,191,714
dam03,191,873
dam01,192,1536
dam02,192,714
dam03,192,873
dam01,193,1536
dam02,193,714
dam03,193,873
dam01,194,1536
dam02,194,714
dam03,194,873
dam01,195,1536
dam02,195,714
dam03,195,873
dam01,196,1536
dam02,196,714
dam03,196,873
dam01,197,1536
dam02,197,714
dam03,197,873
dam01,198,1536
dam02,198,714
dam03,198,873
dam01,199,1536
dam02,199,714
dam03,199,873
dam01,200,1579
dam02,200,659
dam03,200,902
dam01,201,1579
dam02,201,659
dam03,201,902
dam01,202,1579
dam02,202,659
dam03,202,902
dam01,203,1579
dam02,203,659
dam03,203,902
dam01,204,1579
dam02,204,659
dam03,204,902
dam01,205,1579
dam02,205,659
dam03,205,902
dam01,206,1579
dam02,206,659
dam03,206,902
dam01,207,1579
dam02,207,659
dam03,207,902
dam01,208,1579
dam02,208,659
dam03,208,902
dam01,209,1579
dam02,209,659
dam03,209,902
dam01,210,1577
dam02,210,695
dam03,210,953
dam01,211,1577
dam02,211,695
dam03,211,953
dam01,212,1577
dam02,212,695
dam03,212,953
dam01,213,1577
dam02,213,695
dam03,213,953
dam01,214,1577
dam02,214,695
dam03,214,953
dam01,215,1577
dam02,215,695
dam03,215,953
dam01,216,1577
dam02,216,695
dam03,216,953
dam01,217,1577
dam02,217,695
dam03,217,953
dam01,218,1577
dam02,218,695
dam03,218,953
dam01,219,1577
dam02,219,695
dam03,219,953
dam01,220,1588
dam02,220,702
dam03,220,944
dam01,221,1588
dam02,221,702
dam03,221,944
dam01,222,1588
dam02,222,702
dam03,222,944
dam01,223,1588
dam02,223,702
dam03,223,944
dam01,224,1588
dam02,224,702
dam03,224,944
dam01,225,1588
dam02,225,702
dam03,225,944
dam01,226,1588
dam02,226,702
dam03,226,944
dam01,227,1588
dam02,227,702
dam03,227,944
dam01,228,1588
dam02,228,702
dam03,228,944
dam01,229,1588
dam02,229,702
dam03,229,944
dam01,230,1593
dam02,230,715
dam03,230,876
dam01,231,1593
dam02,231,715
dam03,231,876
dam01,232,1593
dam02,232,715
dam03,232,876
dam01,233,1593
dam02,233,715
dam03,233,876
dam01,234,1593
dam02,234,715
dam03,234,876
dam01,235,1593
dam02,235,715
dam03,235,876
dam01,236,1593
dam02,236,715
dam03,236,876
dam01,237,1593
dam02,237,715
dam03,237,876
dam01,238,1593
dam02,238,715
dam03,238,876
dam01,239,1593
dam02,239,715
dam03,239,876
dam01,240,1640
dam02,240,766
dam03,240,923
dam01,241,1640
dam02,241,766
dam03,241,923
dam01,242,1640
dam02,242,766
dam03,242,923
dam01,243,1640
dam02,243,766
dam03,243,923
dam01,244,1640
dam02,244,766
dam03,244,923
dam01,245,1640
dam02,245,766
dam03,245,923
dam01,246,1640
dam02,246,766
dam03,246,923
dam01,247,1640
dam02,247,766
dam03,247,923
dam01,248,1640
dam02,248,766
dam03,248,923
dam01,249,1640
dam02,249,766
dam03,249,923
dam01,250,1639
dam02,250,733
dam03,250,937
dam01,251,1639
dam02,251,733
dam03,251,937
dam01,252,1639
dam02,252,733
dam03,252,937
dam01,253,1639
dam02,253,733
dam03,253,937
dam01,254,1639
dam02,254,733
dam03,254,937
dam01,255,1639
dam02,255,733
dam03,255,937
dam01,256,1639
dam02,256,733
dam03,256,937
dam01,257,1639
dam02,257,733
dam03,257,937
dam01,258,1639
dam02,258,733
dam03,258,937
dam01,259,1639
dam02,259,733
dam03,259,937
dam01,260,1672
dam02,260,693
dam03,260,997
dam01,261,1672
dam02,261,693
dam03,261,997
dam01,262,1672
dam02,262,693
dam03,262,997
dam01,263,1672
dam02,263,693
dam03,263,997
dam01,264,1672
dam02,264,693
dam03,264,997
dam01,265,1672
dam02,265,693
dam03,265,997
dam01,266,1672
dam02,266,693
dam03,266,997
dam01,267,1672
dam02,267,693
dam03,267,997
dam01,268,1672
dam02,268,693
dam03,268,997
dam01,269,1672
dam02,269,693
dam03,269,997
dam01,270,1678
dam02,270,704
dam03,270,1009
dam01,271,1678
dam02,271,704
dam03,271,1009
dam01,272,1678
dam02,272,704
dam03,272,1009
dam01,273,1678
dam02,273,704
dam03,273,1009
dam01,274,1678
dam02,274,704
dam03,274,1009
dam01,275,1678
dam02,275,704
dam03,275,1009
dam01,276,1678
dam02,276,704
dam03,276,1009
dam01,277,1678
dam02,277,704
dam03,277,1009
dam01,278,1678
dam02,278,704
dam03,278,1009
dam01,279,1678
dam02,279,704
dam03,279,1009
dam01,280,1649
dam02,280,726
dam03,280,1027
dam01,281,1649
dam02,281,726
dam03,281,1027
dam01,282,1649
dam02,282,726
dam03,282,1027
dam01,283,1649
dam02,283,726
dam03,283,1027
dam01,284,1649
dam02,284,726
dam03,284,1027
dam01,285,1649
dam02,285,726
dam03,285,1027
dam01,286,1649
dam02,286,726
dam03,286,1027
dam01,287,1649
dam02,287,726
dam03,287,1027
dam01,288,1649
dam02,288,726
dam03,288,1027
dam01,289,1649
dam02,289,726
dam03,289,1027
dam01,290,1603
dam02,290,683
dam03,290,1089
dam01,291,1603
dam02,291,683
dam03,291,1089
dam01,292,1603
dam02,292,683
dam03,292,1089
dam01,293,1603
dam02,293,683
dam03,293,1089
dam01,294,1603
dam02,294,683
dam03,294,1089
dam01,295,1603
dam02,295,683
dam03,295,1089
dam01,296,1603
dam02,296,683
dam03,296,1089
dam01,297,1603
dam02,297,683
dam03,297,1089
dam01,298,1603
dam02,298,683
dam03,298,1089
dam01,299,1603
dam02,299,683
dam03,299,1089
dam01,300,1638
dam02,300,732
dam03,300,1066
dam01,301,1638
dam02,301,732
dam03,301,1066
dam01,302,1638
dam02,302,732
dam03,302,1066
dam01,303,1638
dam02,303,732
dam03,303,1066
dam01,304,1638
dam02,304,732
dam03,304,1066
dam01,305,1638
dam02,305,732
dam03,305,1066
dam01,306,1638
dam02,306,732
dam03,306,1066
dam01,307,1638
dam02,307,732
dam03,307,1066
dam01,308,1638
dam02,308,732
dam03,308,1066
dam01,309,1638
dam02,309,732
dam03,309,1066
dam01,310,1613
dam02,310,714
dam03,310,1097
dam01,311,1613
dam02,311,714
dam03,311,1097
dam01,312,1613
dam02,312,714
dam03,312,1097
dam01,313,1613
dam02,313,714
dam03,313,1097
dam01,314,1613
dam02,314,714
dam03,314,1097
dam01,315,1613
dam02,315,714
dam03,315,1097
dam01,316,1613
dam02,316,714
dam03,316,1097
dam01,317,1613
dam02,317,714
dam03,317,1097
dam01,318,1613
dam02,318,714
dam03,318,1097
dam01,319,1613
dam02,319,714
dam03,319,1097
dam01,320,1622
dam02,320,727
dam03,320,1180
dam01,321,1622
dam02,321,727
dam03,321,1180
dam01,322,1622
dam02,322,727
dam03,322,1180
dam01,323,1622
dam02,323,727
dam03,323,1180
dam01,324,1622
dam02,324,727
dam03,324,1180
dam01,325,1622
dam02,325,727
dam03,325,1180
dam01,326,1622
dam02,326,727
dam03,326,1180
dam01,327,1622
dam02,327,727
dam03,327,1180
dam01,328,1622
dam02,328,727
dam03,328,1180
dam01,329,1622
dam02,329,727
dam03,329,1180
dam01,330,1605
dam02,330,795
dam03,330,1112
dam01,331,1605
dam02,331,795
dam03,331,1112
dam01,332,1605
dam02,332,795
dam03,332,1112
dam01,333,1605
dam02,333,795
dam03,333,1112
dam01,334,1605
dam02,334,795
dam03,334,1112
dam01,335,1605
dam02,335,795
dam03,335,1112
dam01,336,1605
dam02,336,795
dam03,336,1112
dam01,337,1605
dam02,337,795
dam03,337,1112
dam01,338,1605
dam02,338,795
dam03,338,1112
dam01,339,1605
dam02,339,795
dam03,339,1112
dam01,340,1532
dam02,340,798
dam03,340,1105
dam01,341,1532
dam02,341,798
dam03,341,1105
dam01,342,1532
dam02,342,798
dam03,342,1105
dam01,343,1532
dam02,343,798
dam03,343,1105
dam01,344,1532
dam02,344,798
dam03,344,1105
dam01,345,1532
dam02,345,798
dam03,345,1105
dam01,346,1532
dam02,346,798
dam03,346,1105
dam01,347,1532
dam02,347,798
dam03,347,1105
dam01,348,1532
dam02,348,798
dam03,348,1105
dam01,349,1532
dam02,349,798
dam03,349,1105
dam01,350,1459
dam02,350,780
dam03,350,1115
dam01,351,1459
dam02,351,780
dam03,351,1115
dam01,352,1459
dam02,352,780
dam03,352,1115
dam01,353,1459
dam02,353,780
dam03,353,1115
dam01,354,1459
dam02,354,780
dam03,354,1115
dam01,355,1459
dam02,355,780
dam03,355,1115
dam01,356,1459
dam02,356,780
dam03,356,1115
dam01,357,1459
dam02,357,780
dam03,357,1115
dam01,358,1459
dam02,358,780
dam03,358,1115
dam01,359,1459
dam02,359,780
dam03,359,1115
dam01,360,1456
dam02,360,800
dam03,360,1054
dam01,361,1456
dam02,361,800
dam03,361,1054
dam01,362,1456
dam02,362,800
dam03,362,1054
dam01,363,1456
dam02,363,800
dam03,363,1054
dam01,364,1456
dam02,364,800
dam03,364,1054
dam01,365,1456
dam02,365,800
dam03,365,1054
dam01,366,1456
dam02,366,800
dam03,366,1054
dam01,367,1456
dam02,367,800
dam03,367,1054
dam01,368,1456
dam02,368,800
dam03,368,1054
dam01,369,1456
dam02,369,800
dam03,369,1054
dam01,370,1478
dam02,370,815
dam03,370,1087
dam01,371,1478
dam02,371,815
dam03,371,1087
dam01,372,1478
dam02,372,815
dam03,372,1087
dam01,373,1478
dam02,373,815
dam03,373,1087
dam01,374,1478
dam02,374,815
dam03,374,1087
dam01,375,1478
dam02,375,815
dam03,375,1087
dam01,376,1478
dam02,376,815
dam03,376,1087
dam01,377,1478
dam02,377,815
dam03,377,1087
dam01,378,1478
dam02,378,815
dam03,378,1087
dam01,379,1478
dam02,379,815
dam03,379,1087
dam01,380,1469
dam02,380,767
dam03,380,1149
dam01,381,1469
dam02,381,767
dam03,381,1149
dam01,382,1469
dam02,382,767
dam03,382,1149
dam01,383,1469
dam02,383,767
dam03,383,1149
dam01,384,1469
dam02,384,767
dam03,384,1149
dam01,385,1469
dam02,385,767
dam03,385,1149
dam01,386,1469
dam02,386,767
dam03,386,1149
dam01,387,1469
dam02,387,767
dam03,387,1149
dam01,388,1469
dam02,388,767
dam03,388,1149
dam01,389,1469
dam02,389,767
dam03,389,1149
dam01,390,1482
dam02,390,800
dam03,390,1180
dam01,391,1482
dam02,391,800
dam03,391,1180
dam01,392,1482
dam02,392,800
dam03,392,1180
dam01,393,1482
dam02,393,800
dam03,393,1180
dam01,394,1482
dam02,394,800
dam03,394,1180
dam01,395,1482
dam02,395,800
dam03,395,1180
dam01,396,1482
dam02,396,800
dam03,396,1180
dam01,397,1482
dam02,397,800
dam03,397,1180
dam01,398,1482
dam02,398,800
dam03,398,1180
dam01,399,1482
dam02,399,800
dam03,399,1180
dam01,400,1502
dam02,400,731
dam03,400,1167
dam01,401,1502
dam02,401,731
dam03,401,1167
dam01,402,1502
dam02,402,731
dam03,402,1167
dam01,403,1502
dam02,403,731
dam03,403,1167
dam01,404,1502
dam02,404,731
dam03,404,1167
dam01,405,1502
dam02,405,731
dam03,405,1167
dam01,406,1502
dam02,406,731
dam03,406,1167
dam01,407,1502
dam02,407,731
dam03,407,1167
dam01,408,1502
dam02,408,731
dam03,408,1167
dam01,409,1502
dam02,409,731
dam03,409,1167
dam01,410,1526
dam02,410,735
dam03,410,1179
dam01,411,1526
dam02,411,735
dam03,411,1179
dam01,412,1526
dam02,412,735
dam03,412,1179
dam01,413,1526
dam02,413,735
dam03,413,1179
dam01,414,1526
dam02,414,735
dam03,414,1179
dam01,415,1526
dam02,415,735
dam03,415,1179
dam01,416,1526
dam02,416,735
dam03,416,1179
dam01,417,1526
dam02,417,735
dam03,417,1179
dam01,418,1526
dam02,418,735
dam03,418,1179
dam01,419,1526
dam02,419,735
dam03,419,1179
dam01,420,1490
dam02,420,824
dam03,420,1187
dam01,421,1490
dam02,421,824
dam03,421,1187
dam01,422,1490
dam02,422,824
dam03,422,1187
dam01,423,1490
dam02,423,824
dam03,423,1187
dam01,424,1490
dam02,424,824
dam03,424,1187
dam01,425,1490
dam02,425,824
dam03,425,1187
dam01,426,1490
dam02,426,824
dam03,426,1187
dam01,427,1490
dam02,427,824
dam03,427,1187
dam01,428,1490
dam02,428,824
dam03,428,1187
dam01,429,1490
dam02,429,824
dam03,429,1187
dam01,430,1462
dam02,430,780
dam03,430,1227
dam01,431,1462
dam02,431,780
dam03,431,1227
dam01,432,1462
dam02,432,780
dam03,432,1227
dam01,433,1462
dam02,433,780
dam03,433,1227
dam01,434,1462
dam02,434,780
dam03,434,1227
dam01,435,1462
dam02,435,780
dam03,435,1227
dam01,436,1462
dam02,436,780
dam03,436,1227
dam01,437,1462
dam02,437,780
dam03,437,1227
dam01,438,1462
dam02,438,780
dam03,438,1227
dam01,439,1462
dam02,439,780
dam03,439,1227
dam01,440,1465
dam02,440,784
dam03,440,1285
dam01,441,1465
dam02,441,784
dam03,441,1285
dam01,442,1465
dam02,442,784
dam03,442,1285
dam01,443,1465
dam02,443,784
dam03,443,1285
dam01,444,1465
dam02,444,784
dam03,444,1285
dam01,445,1465
dam02,445,784
dam03,445,1285
dam01,446,1465
dam02,446,784
dam03,446,1285
dam01,447,1465
dam02,447,784
dam03,447,1285
dam01,448,1465
dam02,448,784
dam03,448,1285
dam01,449,1465
dam02,449,784
dam03,449,1285
dam01,450,1417
dam02,450,780
dam03,450,1338
dam01,451,1417
dam02,451,780
dam03,451,1338
dam01,452,1417
dam02,452,780
dam03,452,1338
dam01,453,1417
dam02,453,780
dam03,453,1338
dam01,454,1417
dam02,454,780
dam03,454,1338
dam01,455,1417
dam02,455,780
dam03,455,1338
dam01,456,1417
dam02,456,780
dam03,456,1338
dam01,457,1417
dam02,457,780
dam03,457,1338
dam01,458,1417
dam02,458,780
dam03,458,1338
dam01,459,1417
dam02,459,780
dam03,459,1338
dam01,460,1353
dam02,460,845
dam03,460,1382
dam01,461,1353
dam02,461,845
dam03,461,1382
dam01,462,1353
dam02,462,845
dam03,462,1382
dam01,463,1353
dam02,463,845
dam03,463,1382
dam01,464,1353
dam02,464,845
dam03,464,1382
dam01,465,1353
dam02,465,845
dam03,465,1382
dam01,466,1353
dam02,466,845
dam03,466,1382
dam01,467,1353
dam02,467,845
dam03,467,1382
dam01,468,1353
dam02,468,845
dam03,468,1382
dam01,469,1353
dam02,469,845
dam03,469,1382
dam01,470,1424
dam02,470,859
dam03,470,1385
dam01,471,1424
dam02,471,859
dam03,471,1385
dam01,472,1424
dam02,472,859
dam03,472,1385
dam01,473,1424
dam02,473,859
dam03,473,1385
dam01,474,1424
dam02,474,859
dam03,474,1385
dam01,475,1424
dam02,475,859
dam03,475,1385
dam01,476,1424
dam02,476,859
dam03,476,1385
dam01,477,1424
dam02,477,859
dam03,477,1385
dam01,478,1424
dam02,478,859
dam03,478,1385
dam01,479,1424
dam02,479,859
dam03,479,1385
dam01,480,1439
dam02,480,948
dam03,480,1353
dam01,481,1439
dam02,481,948
dam03,481,1353
dam01,482,1439
dam02,482,948
dam03,482,1353
dam01,483,1439
dam02,483,948
dam03,483,1353
dam01,484,1439
dam02,484,948
dam03,484,1353
dam01,485,1439
dam02,485,948
dam03,485,1353
dam01,486,1439
dam02,486,948
dam03,486,1353
dam01,487,1439
dam02,487,948
dam03,487,1353
dam01,488,1439
dam02,488,948
dam03,488,1353
dam01,489,1439
dam02,489,948
dam03,489,1353
dam01,490,1505
dam02,490,941
dam03,490,1427
dam01,491,1505
dam02,491,941
dam03,491,1427
dam01,492,1505
dam02,492,941
dam03,492,1427
dam01,493,1505
dam02,493,941
dam03,493,1427
dam01,494,1505
dam02,494,941
dam03,494,1427
dam01,495,1505
dam02,495,941
dam03,495,1427
dam01,496,1505
dam02,496,941
dam03,496,1427
dam01,497,1505
dam02,497,941
dam03,497,1427
dam01,498,1505
dam02,498,941
dam03,498,1427
dam01,499,1505
dam02,499,941
dam03,499,1427
